index,project,relativePath,absolutePath,methodName,spanMethod,wholeMethod,body,javaDoc,coverage,tokensPerMethod,javaDocFirstSentence,tokensFirstLine,perturbatedJavaDocSentence
622,cdk,org/openscience/cdk/modeling/builder3d/AtomPlacer3D.java,/tool/builder3d/src/main/java/org/openscience/cdk/modeling/builder3d/AtomPlacer3D.java,findHeavyAtomsInChain,81-101,"/**
     *  Count and find first heavy atom(s) (non Hydrogens) in a chain.
     *
     * @param  molecule the reference molecule for searching the chain
     * @param  chain  chain to be searched
     * @return        the atom number of the first heavy atom the number of heavy atoms in the chain
     */
public int[] findHeavyAtomsInChain(IAtomContainer molecule, IAtomContainer chain){
    int[] heavy = { -1, -1 };
    int hc = 0;
    for (int i = 0; i < chain.getAtomCount(); i++) {
        if (isHeavyAtom(chain.getAtom(i))) {
            if (heavy[0] < 0) {
                heavy[0] = molecule.indexOf(chain.getAtom(i));
            }
            hc++;
        }
    }
    heavy[1] = hc;
    return heavy;
}","public int[] findHeavyAtomsInChain(IAtomContainer molecule, IAtomContainer chain){
    int[] heavy = { -1, -1 };
    int hc = 0;
    for (int i = 0; i < chain.getAtomCount(); i++) {
        if (isHeavyAtom(chain.getAtom(i))) {
            if (heavy[0] < 0) {
                heavy[0] = molecule.indexOf(chain.getAtom(i));
            }
            hc++;
        }
    }
    heavy[1] = hc;
    return heavy;
}","/**
     *  Count and find first heavy atom(s) (non Hydrogens) in a chain.
     *
     * @param  molecule the reference molecule for searching the chain
     * @param  chain  chain to be searched
     * @return        the atom number of the first heavy atom the number of heavy atoms in the chain
     */","('findHeavyAtomsInChain', {'INSTRUCTION': {'covered': 46, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 9, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",107.0,  Count and find first heavy atom(s) (non Hydrogens) in a chain.,17.0,"['Find the first heavy atom in a chain.', 'Find the first heavy atom in the chain.', 'Find the first heavy atom in a chain by counting it.']"
623,dcache,org/dcache/gplazma/plugins/Ldap.java,/modules/gplazma2-ldap/src/main/java/org/dcache/gplazma/plugins/Ldap.java,extractAttributes,632-656,"/**
     * Get set of attributes extracted from the search result.
     *
     * @param <T>    type of extracted type.
     * @param sre    ldap search result.
     * @param attr   search result attribute.
     * @param mapper mapping function to apply to each result element.
     * @return set of attributes.
     * @throws NamingException
     */
private static Set<T> extractAttributes(NamingEnumeration<SearchResult> sre, String attr, Function<String, T> mapper) throws NamingException{
    Set<T> attrs = new HashSet<>();
    while (sre.hasMore()) {
        T v = mapper.apply((String) sre.next().getAttributes().get(attr).get());
        attrs.add(v);
    }
    if (attrs.isEmpty()) {
        throw new NoSuchElementException();
    }
    return attrs;
}","private static Set<T> extractAttributes(NamingEnumeration<SearchResult> sre, String attr, Function<String, T> mapper) throws NamingException{
    Set<T> attrs = new HashSet<>();
    while (sre.hasMore()) {
        T v = mapper.apply((String) sre.next().getAttributes().get(attr).get());
        attrs.add(v);
    }
    if (attrs.isEmpty()) {
        throw new NoSuchElementException();
    }
    return attrs;
}","/**
     * Get set of attributes extracted from the search result.
     *
     * @param <T>    type of extracted type.
     * @param sre    ldap search result.
     * @param attr   search result attribute.
     * @param mapper mapping function to apply to each result element.
     * @return set of attributes.
     * @throws NamingException
     */","('extractAttributes', {'INSTRUCTION': {'covered': 32, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 8, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",108.0,  Get set of attributes extracted from the search result.,10.0,"['Get the set of attributes from the search result.', 'Get the set of attributes from the search results.', 'Get a set of attributes from the search result.']"
624,tablesaw,tech/tablesaw/api/TimeColumn.java,/core/src/main/java/tech/tablesaw/api/TimeColumn.java,bottom,512-535,"/**
   * Returns the smallest (""bottom"") n values in the column, Does not change the order in this
   * column
   *
   * @param n The maximum number of records to return. The actual number will be smaller if n is
   *     greater than the number of observations in the column
   * @return A list, possibly empty, of the smallest n observations
   */
public List<LocalTime> bottom(int n){
    List<LocalTime> bottom = new ArrayList<>();
    int[] values = data.toIntArray();
    IntArrays.parallelQuickSort(values);
    int rowCount = 0;
    int validCount = 0;
    while (validCount < n && rowCount < size()) {
        int value = values[rowCount];
        if (value != TimeColumnType.missingValueIndicator()) {
            bottom.add(PackedLocalTime.asLocalTime(value));
            validCount++;
        }
        rowCount++;
    }
    return bottom;
}","public List<LocalTime> bottom(int n){
    List<LocalTime> bottom = new ArrayList<>();
    int[] values = data.toIntArray();
    IntArrays.parallelQuickSort(values);
    int rowCount = 0;
    int validCount = 0;
    while (validCount < n && rowCount < size()) {
        int value = values[rowCount];
        if (value != TimeColumnType.missingValueIndicator()) {
            bottom.add(PackedLocalTime.asLocalTime(value));
            validCount++;
        }
        rowCount++;
    }
    return bottom;
}","/**
   * Returns the smallest (""bottom"") n values in the column, Does not change the order in this
   * column
   *
   * @param n The maximum number of records to return. The actual number will be smaller if n is
   *     greater than the number of observations in the column
   * @return A list, possibly empty, of the smallest n observations
   */","('bottom', {'INSTRUCTION': {'covered': 38, 'missed': 0}, 'BRANCH': {'covered': 5, 'missed': 1}, 'LINE': {'covered': 13, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",108.0,"  Returns the smallest (""bottom"") n values in the column, Does not change the order in this  column   @param n The maximum number of records to return.",33.0,"['The smallest values in the column are returned, and the maximum number of records to return.', 'The smallest values in the column are returned, but the order in this column is not changed.', 'The smallest values in the column are returned, and the maximum number of records returned.']"
625,cdk,org/openscience/cdk/smiles/BeamToCDK.java,/storage/smiles/src/main/java/org/openscience/cdk/smiles/BeamToCDK.java,insert,581-602,"/**
     * Insert the vertex 'v' into sorted position in the array 'vs'.
     *
     * @param v  a vertex (int id)
     * @param vs array of vertices (int ids)
     * @return array with 'u' inserted in sorted order
     */
private static int[] insert(int v, int[] vs){
    final int n = vs.length;
    final int[] ws = Arrays.copyOf(vs, n + 1);
    ws[n] = v;
    for (int i = n; i > 0 && ws[i] < ws[i - 1]; i--) {
        int tmp = ws[i];
        ws[i] = ws[i - 1];
        ws[i - 1] = tmp;
    }
    return ws;
}","private static int[] insert(int v, int[] vs){
    final int n = vs.length;
    final int[] ws = Arrays.copyOf(vs, n + 1);
    ws[n] = v;
    for (int i = n; i > 0 && ws[i] < ws[i - 1]; i--) {
        int tmp = ws[i];
        ws[i] = ws[i - 1];
        ws[i - 1] = tmp;
    }
    return ws;
}","/**
     * Insert the vertex 'v' into sorted position in the array 'vs'.
     *
     * @param v  a vertex (int id)
     * @param vs array of vertices (int ids)
     * @return array with 'u' inserted in sorted order
     */","('insert', {'INSTRUCTION': {'covered': 48, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 8, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",109.0,  Insert the vertex 'v' into sorted position in the array 'vs'.,15.0,"[""The array 'vs' has the 'v' inserted into it."", ""The array 'vs' has the 'v' in it."", ""The array 'vs' has the 'v' placed into it.""]"
626,acs-aem-commons,com/adobe/acs/commons/util/BufferedServletOutput.java,/bundle/src/main/java/com/adobe/acs/commons/util/BufferedServletOutput.java,close,186-202,"/** 
     * Closing leads to flushing the buffered output stream or writer to the underlying/wrapped response but only in case {@link #flushBufferOnClose} is set to {@code true}.
     * Also this will automatically commit the response in case {@link #flushBuffer} has been called previously!
     * 
     * @throws IOException */
 void close() throws IOException{
    if (flushBufferOnClose) {
        if (ResponseWriteMethod.OUTPUTSTREAM.equals(this.writeMethod) && outputStream != null && getBufferedBytes().length > 0) {
            wrappedResponse.getOutputStream().write(getBufferedBytes());
        } else if (ResponseWriteMethod.WRITER.equals(this.writeMethod) && writer != null && getBufferedString().length() > 0) {
            wrappedResponse.getWriter().write(getBufferedString());
        }
    }
    if (flushWrappedBuffer) {
        wrappedResponse.flushBuffer();
    }
}","void close() throws IOException{
    if (flushBufferOnClose) {
        if (ResponseWriteMethod.OUTPUTSTREAM.equals(this.writeMethod) && outputStream != null && getBufferedBytes().length > 0) {
            wrappedResponse.getOutputStream().write(getBufferedBytes());
        } else if (ResponseWriteMethod.WRITER.equals(this.writeMethod) && writer != null && getBufferedString().length() > 0) {
            wrappedResponse.getWriter().write(getBufferedString());
        }
    }
    if (flushWrappedBuffer) {
        wrappedResponse.flushBuffer();
    }
}","/** 
     * Closing leads to flushing the buffered output stream or writer to the underlying/wrapped response but only in case {@link #flushBufferOnClose} is set to {@code true}.
     * Also this will automatically commit the response in case {@link #flushBuffer} has been called previously!
     * 
     * @throws IOException */","('close', {'INSTRUCTION': {'covered': 40, 'missed': 7}, 'BRANCH': {'covered': 13, 'missed': 3}, 'LINE': {'covered': 7, 'missed': 1}, 'COMPLEXITY': {'covered': 6, 'missed': 3}, 'METHOD': {'covered': 1, 'missed': 0}})",109.0,   Closing leads to flushing the buffered output stream or writer to the underlying/wrapped response but only in case {@link #flushBufferOnClose} is set to {@code true}.,33.0,"['If @link #flushBufferOnClose is set to true, the output stream will be flushed to the underlying response.', 'If @link #flushBufferOnClose is set to true, the output stream will be flushed to the underlying/wrapped response.', 'If @link #flushBufferOnClose is set to true, the output stream will be flushed.']"
627,dcache,org/dcache/services/info/base/StatePath.java,/modules/dcache-info/src/main/java/org/dcache/services/info/base/StatePath.java,equals,135-165,"/**
     * Check whether another path points to the same location.
     *
     * @param otherPath: the other path to compare
     * @return: whether the other path point to the same location.
     */
public boolean equals(Object otherObject){
    if (!(otherObject instanceof StatePath)) {
        return false;
    }
    if (otherObject == this) {
        return true;
    }
    StatePath otherPath = (StatePath) otherObject;
    if (otherPath._elements.size() != _elements.size()) {
        return false;
    }
    for (int i = 0; i < _elements.size(); i++) {
        if (otherPath._elements.get(i) != _elements.get(i)) {
            return false;
        }
    }
    return true;
}","public boolean equals(Object otherObject){
    if (!(otherObject instanceof StatePath)) {
        return false;
    }
    if (otherObject == this) {
        return true;
    }
    StatePath otherPath = (StatePath) otherObject;
    if (otherPath._elements.size() != _elements.size()) {
        return false;
    }
    for (int i = 0; i < _elements.size(); i++) {
        if (otherPath._elements.get(i) != _elements.get(i)) {
            return false;
        }
    }
    return true;
}","/**
     * Check whether another path points to the same location.
     *
     * @param otherPath: the other path to compare
     * @return: whether the other path point to the same location.
     */","('equals', {'INSTRUCTION': {'covered': 44, 'missed': 0}, 'BRANCH': {'covered': 10, 'missed': 0}, 'LINE': {'covered': 11, 'missed': 0}, 'COMPLEXITY': {'covered': 6, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",109.0,  Check whether another path points to the same location.,10.0,"['If another path points to the same location, check it.', 'If another path points to the same location, you should check it.', 'If there is another path pointing to the same location, check it.']"
633,dcache,org/dcache/pool/movers/ChecksumChannel.java,/modules/dcache/src/main/java/org/dcache/pool/movers/ChecksumChannel.java,addType,116-145,"/**
     * Ensure that a Checksum is calculated for the supplied ChecksumType.  If the ChecksumType is
     * already registered then this method does nothing, otherwise the ChecksumChannel is updated to
     * calculate the new ChecksumType. If the ChecksumChannel has accepted a contiguous range of
     * data from offset 0 then this method will reread that contiguous range.
     *
     * @param type The algorithm this ChecksumChannel should calculate.
     * @throws IOException if the Channel has already started accepting data and an attempt to
     *                     reread data from disk fails.
     */
public void addType(ChecksumType type) throws IOException{
    synchronized (_digests) {
        if (_digests.stream().map(MessageDigest::getAlgorithm).noneMatch(t -> t.equals(type.getName()))) {
            MessageDigest digest = type.createMessageDigest();
            if (_isChecksumViable) {
                try {
                    updateFromChannel(Collections.singleton(digest), 0L, _nextChecksumOffset);
                } catch (IOException e) {
                    throw new IOException(""Failed when reading received data: "" + messageOrClassName(e), e);
                }
            }
            _digests.add(digest);
        }
    }
}","public void addType(ChecksumType type) throws IOException{
    synchronized (_digests) {
        if (_digests.stream().map(MessageDigest::getAlgorithm).noneMatch(t -> t.equals(type.getName()))) {
            MessageDigest digest = type.createMessageDigest();
            if (_isChecksumViable) {
                try {
                    updateFromChannel(Collections.singleton(digest), 0L, _nextChecksumOffset);
                } catch (IOException e) {
                    throw new IOException(""Failed when reading received data: "" + messageOrClassName(e), e);
                }
            }
            _digests.add(digest);
        }
    }
}","/**
     * Ensure that a Checksum is calculated for the supplied ChecksumType.  If the ChecksumType is
     * already registered then this method does nothing, otherwise the ChecksumChannel is updated to
     * calculate the new ChecksumType. If the ChecksumChannel has accepted a contiguous range of
     * data from offset 0 then this method will reread that contiguous range.
     *
     * @param type The algorithm this ChecksumChannel should calculate.
     * @throws IOException if the Channel has already started accepting data and an attempt to
     *                     reread data from disk fails.
     */","('addType', {'INSTRUCTION': {'covered': 37, 'missed': 9}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 11, 'missed': 3}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",110.0,  Ensure that a Checksum is calculated for the supplied ChecksumType.,11.0,"['The Checksum should be calculated for the supplied ChecksumType.', 'The Checksum should be calculated for the supplied type.', 'The Checksum should be calculated for the supplied check type.']"
634,cdk,org/openscience/cdk/hash/stereo/GeometryEncoder.java,/tool/hash/src/main/java/org/openscience/cdk/hash/stereo/GeometryEncoder.java,encode,82-119,"/**
     * Encodes the {@code centres[]} specified in the constructor as either
     * clockwise/anticlockwise or none. If there is a permutation parity but no
     * geometric parity then we can not encode the configuration and 'true' is
     * returned to indicate the perception is done. If there is no permutation
     * parity this may changed with the next {@code current[]} values and so
     * 'false' is returned.
     *
     *{@inheritDoc}
     */
public boolean encode(long[] current, long[] next){
    int p = permutation.parity(current);
    // if is a permutation parity (all neighbors are different)
    if (p != 0) {
        // multiple with the geometric parity
        int q = geometric.parity() * p;
        // configure anticlockwise/clockwise
        if (q > 0) {
            for (int i : centres) {
                next[i] = current[i] * ANTICLOCKWISE;
            }
        } else if (q < 0) {
            for (int i : centres) {
                next[i] = current[i] * CLOCKWISE;
            }
        }
        // 0 parity ignored
        return true;
    }
    return false;
}","public boolean encode(long[] current, long[] next){
    int p = permutation.parity(current);
    // if is a permutation parity (all neighbors are different)
    if (p != 0) {
        // multiple with the geometric parity
        int q = geometric.parity() * p;
        // configure anticlockwise/clockwise
        if (q > 0) {
            for (int i : centres) {
                next[i] = current[i] * ANTICLOCKWISE;
            }
        } else if (q < 0) {
            for (int i : centres) {
                next[i] = current[i] * CLOCKWISE;
            }
        }
        // 0 parity ignored
        return true;
    }
    return false;
}","/**
     * Encodes the {@code centres[]} specified in the constructor as either
     * clockwise/anticlockwise or none. If there is a permutation parity but no
     * geometric parity then we can not encode the configuration and 'true' is
     * returned to indicate the perception is done. If there is no permutation
     * parity this may changed with the next {@code current[]} values and so
     * 'false' is returned.
     *
     *{@inheritDoc}
     */","('encode', {'INSTRUCTION': {'covered': 72, 'missed': 0}, 'BRANCH': {'covered': 10, 'missed': 0}, 'LINE': {'covered': 11, 'missed': 0}, 'COMPLEXITY': {'covered': 6, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",110.0,  Encodes the {@code centres[]} specified in the constructor as either  clockwise/anticlockwise or none.,19.0,"['The @code centres[] specified in the constructor is either clockwise or anticlockwise.', 'The @code centres[] is specified in the constructor as either clockwise or anticlockwise.', 'The @code centers[] specified in the constructor is either clockwise or anticlockwise.']"
635,acs-aem-commons,com/adobe/acs/commons/images/impl/NamedTransformImageServlet.java,/bundle/src/main/java/com/adobe/acs/commons/images/impl/NamedTransformImageServlet.java,transform,246-274,"/**
     * Execute the ImageTransformers as specified by the Request's suffix segments against the Image layer.
     *
     * @param layer the Image layer
     * @param imageTransformersWithParams the transforms and their params
     * @return the transformed Image layer
     */
protected final Layer transform(Layer layer, final ValueMap imageTransformersWithParams){
    for (final String type : imageTransformersWithParams.keySet()) {
        if (StringUtils.equals(TYPE_QUALITY, type)) {
            continue;
        }
        final ImageTransformer imageTransformer = this.imageTransformers.get(type);
        if (imageTransformer == null) {
            log.warn(""Skipping transform. Missing ImageTransformer for type: {}"", type);
            continue;
        }
        final ValueMap transformParams = imageTransformersWithParams.get(type, EMPTY_PARAMS);
        if (transformParams != null) {
            layer = imageTransformer.transform(layer, transformParams);
        }
    }
    return layer;
}","protected final Layer transform(Layer layer, final ValueMap imageTransformersWithParams){
    for (final String type : imageTransformersWithParams.keySet()) {
        if (StringUtils.equals(TYPE_QUALITY, type)) {
            continue;
        }
        final ImageTransformer imageTransformer = this.imageTransformers.get(type);
        if (imageTransformer == null) {
            log.warn(""Skipping transform. Missing ImageTransformer for type: {}"", type);
            continue;
        }
        final ValueMap transformParams = imageTransformersWithParams.get(type, EMPTY_PARAMS);
        if (transformParams != null) {
            layer = imageTransformer.transform(layer, transformParams);
        }
    }
    return layer;
}","/**
     * Execute the ImageTransformers as specified by the Request's suffix segments against the Image layer.
     *
     * @param layer the Image layer
     * @param imageTransformersWithParams the transforms and their params
     * @return the transformed Image layer
     */","('transform', {'INSTRUCTION': {'covered': 39, 'missed': 6}, 'BRANCH': {'covered': 5, 'missed': 3}, 'LINE': {'covered': 9, 'missed': 3}, 'COMPLEXITY': {'covered': 2, 'missed': 3}, 'METHOD': {'covered': 1, 'missed': 0}})",110.0,  Execute the ImageTransformers as specified by the Request's suffix segments against the Image layer.,16.0,"[""The image transformer is executed as specified by the Request's suffix segments."", 'The image transformer is executed as specified by the request.', ""The image transformer is executed as specified by the request's suffix segments.""]"
636,jackson-databind,com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.java,/src/main/java/com/fasterxml/jackson/databind/deser/impl/BeanPropertyMap.java,withProperty,307-329,"/**
     * Fluent copy method that creates a new instance that is a copy
     * of this instance except for one additional property that is
     * passed as the argument.
     * Note that method does not modify this instance but constructs
     * and returns a new one.
     */
public BeanPropertyMap withProperty(SettableBeanProperty newProp){
    String key = getPropertyName(newProp);
    for (int i = 1, end = _hashArea.length; i < end; i += 2) {
        SettableBeanProperty prop = (SettableBeanProperty) _hashArea[i];
        if ((prop != null) && prop.getName().equals(key)) {
            return new BeanPropertyMap(this, newProp, i, _findFromOrdered(prop));
        }
    }
    final int slot = _hashCode(key);
    return new BeanPropertyMap(this, newProp, key, slot);
}","public BeanPropertyMap withProperty(SettableBeanProperty newProp){
    String key = getPropertyName(newProp);
    for (int i = 1, end = _hashArea.length; i < end; i += 2) {
        SettableBeanProperty prop = (SettableBeanProperty) _hashArea[i];
        if ((prop != null) && prop.getName().equals(key)) {
            return new BeanPropertyMap(this, newProp, i, _findFromOrdered(prop));
        }
    }
    final int slot = _hashCode(key);
    return new BeanPropertyMap(this, newProp, key, slot);
}","/**
     * Fluent copy method that creates a new instance that is a copy
     * of this instance except for one additional property that is
     * passed as the argument.
     * Note that method does not modify this instance but constructs
     * and returns a new one.
     */","('withProperty', {'INSTRUCTION': {'covered': 50, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 7, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",110.0,  Fluent copy method that creates a new instance that is a copy  of this instance except for one additional property that is  passed as the argument.,27.0,"['A fluent copy method creates a new instance that is a copy of this instance except for one additional property that is passed as the argument.', 'A fluent copy method creates a new instance that is a copy of this instance except for one property that is passed as the argument.', 'A fluent copy method creates a new instance that is a copy of this instance, except for one additional property that is passed as the argument.']"
637,cdk,org/openscience/cdk/formula/MassToFormulaTool.java,/legacy/src/main/java/org/openscience/cdk/formula/MassToFormulaTool.java,orderList,417-436,"/**
     * Put the order the List of IIsotope according the probability occurrence.
     *
     * @param isotopes_TO  The List of IIsotope
     * @return             The list of IIsotope ordered
     */
private List<IIsotope> orderList(List<IIsotope> isotopes_TO){
    List<IIsotope> newOrderList = new ArrayList<IIsotope>();
    for (int i = 0; i < orderElements.length; i++) {
        String symbol = orderElements[i];
        Iterator<IIsotope> itIso = isotopes_TO.iterator();
        while (itIso.hasNext()) {
            IIsotope isotopeToCo = itIso.next();
            if (isotopeToCo.getSymbol().equals(symbol)) {
                newOrderList.add(isotopeToCo);
            }
        }
    }
    return newOrderList;
}","private List<IIsotope> orderList(List<IIsotope> isotopes_TO){
    List<IIsotope> newOrderList = new ArrayList<IIsotope>();
    for (int i = 0; i < orderElements.length; i++) {
        String symbol = orderElements[i];
        Iterator<IIsotope> itIso = isotopes_TO.iterator();
        while (itIso.hasNext()) {
            IIsotope isotopeToCo = itIso.next();
            if (isotopeToCo.getSymbol().equals(symbol)) {
                newOrderList.add(isotopeToCo);
            }
        }
    }
    return newOrderList;
}","/**
     * Put the order the List of IIsotope according the probability occurrence.
     *
     * @param isotopes_TO  The List of IIsotope
     * @return             The list of IIsotope ordered
     */","('orderList', {'INSTRUCTION': {'covered': 40, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 10, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",111.0,  Put the order the List of IIsotope according the probability occurrence.,12.0,"['The order of the List of IIsotope should be determined by the probability occurrence.', 'The order of the List of IIsotope should be decided by the probability occurrence.', 'The order of the List of IIsotope should reflect the probability occurrence.']"
638,metrics,io/dropwizard/metrics5/collectd/PacketWriter.java,/metrics-collectd/src/main/java/io/dropwizard/metrics5/collectd/PacketWriter.java,signPacket,140-168,"/**
     * Signs the provided packet, so a CollectD server can verify that its authenticity.
     * Wire format:
     * <pre>
     * +-------------------------------+-------------------------------+
     * ! Type (0x0200)                 ! Length                        !
     * +-------------------------------+-------------------------------+
     * ! Signature (SHA2(username + packet))                           \
     * +-------------------------------+-------------------------------+
     * ! Username                      ! Packet                        \
     * +---------------------------------------------------------------+
     * </pre>
     *
     * @see <a href=""https://collectd.org/wiki/index.php/Binary_protocol#Signature_part"">
     * Binary protocol - CollectD | Signature part</a>
     */
private ByteBuffer signPacket(ByteBuffer packet){
    final byte[] signature = sign(password, (ByteBuffer) ByteBuffer.allocate(packet.remaining() + username.length).put(username).put(packet).flip());
    return (ByteBuffer) ByteBuffer.allocate(BUFFER_SIZE).putShort((short) TYPE_SIGN_SHA256).putShort((short) (username.length + SIGNATURE_LEN)).put(signature).put(username).put((ByteBuffer) packet.flip()).flip();
}","private ByteBuffer signPacket(ByteBuffer packet){
    final byte[] signature = sign(password, (ByteBuffer) ByteBuffer.allocate(packet.remaining() + username.length).put(username).put(packet).flip());
    return (ByteBuffer) ByteBuffer.allocate(BUFFER_SIZE).putShort((short) TYPE_SIGN_SHA256).putShort((short) (username.length + SIGNATURE_LEN)).put(signature).put(username).put((ByteBuffer) packet.flip()).flip();
}","/**
     * Signs the provided packet, so a CollectD server can verify that its authenticity.
     * Wire format:
     * <pre>
     * +-------------------------------+-------------------------------+
     * ! Type (0x0200)                 ! Length                        !
     * +-------------------------------+-------------------------------+
     * ! Signature (SHA2(username + packet))                           \
     * +-------------------------------+-------------------------------+
     * ! Username                      ! Packet                        \
     * +---------------------------------------------------------------+
     * </pre>
     *
     * @see <a href=""https://collectd.org/wiki/index.php/Binary_protocol#Signature_part"">
     * Binary protocol - CollectD | Signature part</a>
     */","('signPacket', {'INSTRUCTION': {'covered': 38, 'missed': 0}, 'LINE': {'covered': 11, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",111.0,"  Signs the provided packet, so a CollectD server can verify that its authenticity.",15.0,"['A CollectD server can verify the authenticity of the packet if it is signs.', 'A CollectD server can verify the authenticity of the packet if it is signed.', 'A CollectD server can verify the authenticity of the provided packet if it is signs.']"
639,cdk,org/openscience/cdk/io/WriterFactory.java,/storage/io/src/main/java/org/openscience/cdk/io/WriterFactory.java,findChemFormats,73-93,"/**
     * Finds IChemFormats that provide a container for serialization for the
     * given features. The syntax of the integer is explained in the DataFeatures class.
     *
     * @param  features the data features for which a IChemFormat is searched
     * @return          an array of IChemFormat's that can contain the given features
     *
     * @see    org.openscience.cdk.tools.DataFeatures
     */
public IChemFormat[] findChemFormats(int features){
    if (formats == null)
        loadFormats();
    Iterator<IChemFormat> iter = formats.iterator();
    List<IChemFormat> matches = new ArrayList<IChemFormat>();
    while (iter.hasNext()) {
        IChemFormat format = (IChemFormat) iter.next();
        if ((format.getSupportedDataFeatures() & features) == features)
            matches.add(format);
    }
    return (IChemFormat[]) matches.toArray(new IChemFormat[matches.size()]);
}","public IChemFormat[] findChemFormats(int features){
    if (formats == null)
        loadFormats();
    Iterator<IChemFormat> iter = formats.iterator();
    List<IChemFormat> matches = new ArrayList<IChemFormat>();
    while (iter.hasNext()) {
        IChemFormat format = (IChemFormat) iter.next();
        if ((format.getSupportedDataFeatures() & features) == features)
            matches.add(format);
    }
    return (IChemFormat[]) matches.toArray(new IChemFormat[matches.size()]);
}","/**
     * Finds IChemFormats that provide a container for serialization for the
     * given features. The syntax of the integer is explained in the DataFeatures class.
     *
     * @param  features the data features for which a IChemFormat is searched
     * @return          an array of IChemFormat's that can contain the given features
     *
     * @see    org.openscience.cdk.tools.DataFeatures
     */","('findChemFormats', {'INSTRUCTION': {'covered': 36, 'missed': 0}, 'BRANCH': {'covered': 5, 'missed': 1}, 'LINE': {'covered': 8, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",111.0,  Finds IChemFormats that provide a container for serialization for the  given features.,13.0,"['IChemFormats provide a container for serialization.', 'IChemFormats give a container for serialization for certain features.', 'IChemFormats give a container for serialization.']"
641,jacoco-plugin,hudson/plugins/jacoco/report/SourceAnnotator.java,/src/main/java/hudson/plugins/jacoco/report/SourceAnnotator.java,printHighlightedLine,77-102,"/**
     * Formats a source code line
     * 
     * @param buf
     *            source to write to.
     * @param lineNumber
     *            line number to output
     * @param cov
     *            branch coverage data for this line
     * @param sourceLine
     *            source code line
     * @param status
     *            coverage status of this line
     */
private void printHighlightedLine(StringBuilder buf, int lineNumber, ICounter cov, String sourceLine, int status){
    buf.append(lineNumber).append("":"");
    String tooltip = getTooltip(cov);
    if (tooltip != null) {
        buf.append(""•<SPAN title=\"""").append(tooltip).append(""\"""");
    } else {
        buf.append("" <SPAN"");
    }
    buf.append("" style=\""BACKGROUND-COLOR: "").append(getStatusColor(status)).append(""\"">"").append(sourceLine).append(""</SPAN>"").append(""<br>"");
}","private void printHighlightedLine(StringBuilder buf, int lineNumber, ICounter cov, String sourceLine, int status){
    buf.append(lineNumber).append("":"");
    String tooltip = getTooltip(cov);
    if (tooltip != null) {
        buf.append(""•<SPAN title=\"""").append(tooltip).append(""\"""");
    } else {
        buf.append("" <SPAN"");
    }
    buf.append("" style=\""BACKGROUND-COLOR: "").append(getStatusColor(status)).append(""\"">"").append(sourceLine).append(""</SPAN>"").append(""<br>"");
}","/**
     * Formats a source code line
     * 
     * @param buf
     *            source to write to.
     * @param lineNumber
     *            line number to output
     * @param cov
     *            branch coverage data for this line
     * @param sourceLine
     *            source code line
     * @param status
     *            coverage status of this line
     */","('printHighlightedLine', {'INSTRUCTION': {'covered': 38, 'missed': 4}, 'BRANCH': {'covered': 1, 'missed': 1}, 'LINE': {'covered': 6, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",111.0,  Formats a source code line    @param buf  source to write to.,13.0,"['Write a source code line to it.', 'A source code line is formatted.', 'The source code line is formatted.']"
